STATION;NAME;DATE;PRCP;TMAX;TMIN;TOBS
USW00023272;SAN FRANCISCO, CA US;2018-01-01;0.10;56;46;51
USW00023272;SAN FRANCISCO, CA US;2018-01-02;0.24;55;45;50
USW00023272;SAN FRANCISCO, CA US;2018-01-03;0.03;58;47;52
USW00023272;SAN FRANCISCO, CA US;2018-01-04;0.00;60;48;54
USW00023272;SAN FRANCISCO, CA US;2018-01-05;0.00;62;49;56
USW00023272;SAN FRANCISCO, CA US;2018-01-06;0.00;61;50;55
USW00023272;SAN FRANCISCO, CA US;2018-01-07;0.18;57;48;52
USW00023272;SAN FRANCISCO, CA US;2018-01-08;0.42;54;45;49
USW00023272;SAN FRANCISCO, CA US;2018-01-09;0.31;55;46;50
USW00023272;SAN FRANCISCO, CA US;2018-01-10;0.08;57;47;52
USW00023272;SAN FRANCISCO, CA US;2018-01-11;0.00;59;48;53
USW00023272;SAN FRANCISCO, CA US;2018-01-12;0.00;60;48;54
USW00023272;SAN FRANCISCO, CA US;2018-01-13;0.00;61;49;55
USW00023272;SAN FRANCISCO, CA US;2018-01-14;0.00;62;49;56
USW00023272;SAN FRANCISCO, CA US;2018-01-15;0.00;63;50;57
USW00023272;SAN FRANCISCO, CA US;2018-01-16;0.00;62;51;56
USW00023272;SAN FRANCISCO, CA US;2018-01-17;0.02;60;50;55
USW00023272;SAN FRANCISCO, CA US;2018-01-18;0.15;58;49;53
USW00023272;SAN FRANCISCO, CA US;2018-01-19;0.07;59;49;54
USW00023272;SAN FRANCISCO, CA US;2018-01-20;0.00;61;50;55
USW00023272;SAN FRANCISCO, CA US;2018-01-21;0.00;62;51;56
USW00023272;SAN FRANCISCO, CA US;2018-01-22;0.00;63;52;57
USW00023272;SAN FRANCISCO, CA US;2018-01-23;0.00;64;52;58
USW00023272;SAN FRANCISCO, CA US;2018-01-24;0.00;65;53;59
USW00023272;SAN FRANCISCO, CA US;2018-01-25;0.00;64;53;58
USW00023272;SAN FRANCISCO, CA US;2018-01-26;0.00;63;52;57
USW00023272;SAN FRANCISCO, CA US;2018-01-27;0.00;62;51;56
USW00023272;SAN FRANCISCO, CA US;2018-01-28;0.00;63;51;57
USW00023272;SAN FRANCISCO, CA US;2018-01-29;0.00;64;52;58
USW00023272;SAN FRANCISCO, CA US;2018-01-30;0.00;65;53;59
USW00023272;SAN FRANCISCO, CA US;2018-01-31;0.00;66;54;60
USW00023272;SAN FRANCISCO, CA US;2018-02-01;0.00;65;53;59
USW00023272;SAN FRANCISCO, CA US;2018-02-02;0.00;64;52;58
USW00023272;SAN FRANCISCO, CA US;2018-02-03;0.12;60;50;55
USW00023272;SAN FRANCISCO, CA US;2018-02-04;0.34;57;48;52
USW00023272;SAN FRANCISCO, CA US;2018-02-05;0.28;58;48;53
USW00023272;SAN FRANCISCO, CA US;2018-02-06;0.09;60;49;54
USW00023272;SAN FRANCISCO, CA US;2018-02-07;0.00;62;50;56
USW00023272;SAN FRANCISCO, CA US;2018-02-08;0.00;63;51;57
USW00023272;SAN FRANCISCO, CA US;2018-02-09;0.00;64;52;58
USW00023272;SAN FRANCISCO, CA US;2018-02-10;0.00;63;52;57
USW00023272;SAN FRANCISCO, CA US;2018-02-11;0.00;62;51;56
USW00023272;SAN FRANCISCO, CA US;2018-02-12;0.00;61;50;55
USW00023272;SAN FRANCISCO, CA US;2018-02-13;0.15;59;49;54
USW00023272;SAN FRANCISCO, CA US;2018-02-14;0.42;56;47;51
USW00023272;SAN FRANCISCO, CA US;2018-02-15;0.23;57;47;52
USW00023272;SAN FRANCISCO, CA US;2018-02-16;0.05;59;48;53
USW00023272;SAN FRANCISCO, CA US;2018-02-17;0.00;61;49;55
USW00023272;SAN FRANCISCO, CA US;2018-02-18;0.00;62;50;56
USW00023272;SAN FRANCISCO, CA US;2018-02-19;0.00;63;51;57
USW00023272;SAN FRANCISCO, CA US;2018-02-20;0.00;64;52;58
